attendance,assignment_score,internal_marks,Extracurricular Activities,final_marks
98,14,23.0,Yes,51.0
88,11,15.0,No,51.0
74,14,19.0,Yes,62.0
67,20,30.0,Yes,69.0
80,9,11.0,No,49.0
98,13,18.0,No,32.0
78,20,30.0,Yes,70.0
82,19,29.0,Yes,56.0
70,13,21.0,No,55.0
70,16,25.0,No,41.0
83,16,25.0,No,44.0
95,15,21.0,No,37.0
99,20,30.0,No,52.0
83,16,24.0,No,40.0
62,18,27.0,No,52.0
81,16,24.0,No,38.0
61,9,17.0,Yes,55.0
83,11,14.0,Yes,48.0
89,12,17.0,Yes,58.0
97,14,22.0,No,66.0
61,20,30.0,Yes,48.0
80,16,23.0,No,59.0
92,15,19.0,Yes,59.0
71,19,28.0,No,45.0
81,11,17.0,No,48.0
84,14,22.0,Yes,48.0
86,13,19.0,No,41.0
87,16,24.0,Yes,41.0
75,18,25.0,Yes,57.0
74,16,25.0,Yes,38.0
62,16,24.0,Yes,44.0
96,14,21.0,Yes,42.0
66,16,24.0,Yes,50.0
80,12,18.0,Yes,68.0
68,17,27.0,Yes,43.0
98,13,20.0,Yes,31.0
77,12,14.0,No,46.0
63,15,23.0,No,35.0
84,9,13.0,Yes,48.0
73,19,27.0,No,37.0
68,17,28.0,No,47.0
85,16,22.0,Yes,33.0
61,10,13.0,Yes,42.0
79,13,15.0,No,35.0
87,15,25.0,Yes,58.0
66,14,23.0,Yes,38.0
67,10,14.0,Yes,51.0
94,11,18.0,No,47.0
73,14,17.0,Yes,47.0
76,11,17.0,No,49.0
95,19,27.0,Yes,51.0
99,16,27.0,Yes,58.0
63,13,20.0,No,54.0
61,19,29.0,Yes,60.0
65,18,25.0,No,34.0
63,16,22.0,No,32.0
88,15,24.0,Yes,62.0
77,14,19.0,Yes,51.0
85,13,18.0,No,34.0
93,11,19.0,No,42.0
69,20,30.0,Yes,50.0
95,13,17.0,Yes,45.0
73,15,24.0,Yes,51.0
90,12,17.0,Yes,33.0
74,14,17.0,Yes,45.0
67,20,29.0,No,46.0
73,13,17.0,No,38.0
82,19,29.0,No,42.0
99,15,21.0,No,40.0
80,17,26.0,Yes,34.0
75,19,30.0,No,39.0
